"MANUFACTURERCODE","BRANDCODE","DESCRIPTION"
WMK,67,Krone
VBK,116,KTM
VCK,116,KTM
WLX,35,Lada
ZPB,51,Lamborghini
VJR,161,Ligier
WLG,68,Linde
SCC,165,Lotus
WAG,47,MAN
VAN,47,MAN
VA0,47,MAN
WMG,47,MAN
WMN,47,MAN
ZN6,92,Maserati
YCM,11,Mazda
JC0,11,Mazda
JC1,11,Mazda
JC3,11,Mazda
JC4,11,Mazda
JC5,11,Mazda
JC6,11,Mazda
JC7,11,Mazda
JC8,11,Mazda
JM0,11,Mazda
JM4,11,Mazda
JM5,11,Mazda
JM6,11,Mazda
JM7,11,Mazda
JM8,11,Mazda
MMZ,11,Mazda
"3MD",11,Mazda
"3MZ",11,Mazda
"1YZ",11,Mazda
W1A,12,Mercedes-Benz
W1K,12,Mercedes-Benz
W1L,12,Mercedes-Benz
W1M,12,Mercedes-Benz
W1N,12,Mercedes-Benz
W1P,12,Mercedes-Benz
W1R,12,Mercedes-Benz
W1V,12,Mercedes-Benz
W1W,12,Mercedes-Benz
W1X,12,Mercedes-Benz
W1Y,12,Mercedes-Benz
W1Z,12,Mercedes-Benz
W10,12,Mercedes-Benz
W11,12,Mercedes-Benz
W12,12,Mercedes-Benz
W13,12,Mercedes-Benz
W14,12,Mercedes-Benz
W2W,12,Mercedes-Benz
W2X,12,Mercedes-Benz
W2Y,12,Mercedes-Benz
W2Z,12,Mercedes-Benz
VSA,12,Mercedes-Benz
WMX,12,Mercedes-Benz
SDP,77,MG
SAH,77,MG
SAX,77,MG
"1ML",79,Miller
XMC,22,Mitsubishi
XMD,22,Mitsubishi
XNC,22,Mitsubishi
MMB,22,Mitsubishi
MMC,22,Mitsubishi
MN3,22,Mitsubishi
MP3,22,Mitsubishi
"4MB",22,Mitsubishi
WMU,103,Multicar
SNZ,49,MZ
SWN,150,Niewiadow
ADN,16,Nissan
MBH,16,Nissan
MDH,16,Nissan
SJK,16,Nissan
VNV,16,Nissan
VSK,16,Nissan
VWA,16,Nissan
VSG,16,Nissan
VSH,16,Nissan
VSJ,16,Nissan
VSL,16,Nissan
JNB,16,Nissan
JNC,16,Nissan
JND,16,Nissan
JNE,16,Nissan
JNF,16,Nissan
JNK,16,Nissan
JNL,16,Nissan
JNM,16,Nissan
JNN,16,Nissan
JNP,16,Nissan
JNR,16,Nissan
JNS,16,Nissan
JNT,16,Nissan
JNU,16,Nissan
JNV,16,Nissan
JNW,16,Nissan
JNX,16,Nissan
JNY,16,Nissan
JNZ,16,Nissan
JN2,16,Nissan
JN5,16,Nissan
JN7,16,Nissan
JPA,16,Nissan
JPB,16,Nissan
JPC,16,Nissan
JPD,16,Nissan
JPE,16,Nissan
W04,13,Opel
W06,13,Opel
W08,13,Opel
"1G0",13,Opel
"1G6",13,Opel
W0V,13,Opel
VGA,15,Peugeot
VXE,15,Peugeot
VTB,97,Piaggio
ZAP,97,Piaggio
ZBP,97,Piaggio
ZDP,97,Piaggio
ZGU,97,Piaggio
MBX,97,Piaggio
MC3,97,Piaggio
MET,97,Piaggio
LBM,97,Piaggio
RP8,97,Piaggio
TAP,151,Polar
"4XA",151,Polar
"5AS",151,Polar
"5VP",151,Polar
"57X",151,Polar
YT5,151,Polar
PL1,33,Proton
SA9,170,RADICAL
VS5,5,Renault
VMK,5,Renault
VF2,5,Renault
VF6,5,Renault
VG6,5,Renault
VG7,5,Renault
VG8,5,Renault
WRA,69,Renders
SAA,19,Rover
SAM,19,Rover
SAZ,19,Rover
TW7,19,Rover
YSC,42,Saab
YK9,42,Saab
YS2,42,Saab
YS4,42,Saab
XLG,131,Saris
XLE,71,Scania
VLU,71,Scania
SZA,71,Scania
"9BS",71,Scania
VVW,20,Seat
VWW,20,Seat
TKS,1,Skoda
TMP,1,Skoda
TMS,1,Skoda
TMW,1,Skoda
TMX,1,Skoda
TNS,1,Skoda
TNL,1,Skoda
TNY,1,Skoda
ZMB,1,Skoda
TMD,1,Skoda
KPA,25,Ssangyong
KPB,25,Ssangyong
KPD,25,Ssangyong
KPF,25,Ssangyong
KPG,25,Ssangyong
KPL,25,Ssangyong
KPS,25,Ssangyong
KPT,25,Ssangyong
WSE,96,Stema
VG2,153,Sterckeman
TSM,23,Suzuki
VSE,23,Suzuki
VTT,23,Suzuki
VTU,23,Suzuki
MH8,23,Suzuki
JGC,23,Suzuki
JGK,23,Suzuki
JGN,23,Suzuki
JGT,23,Suzuki
JG2,23,Suzuki
JG7,23,Suzuki
JSA,23,Suzuki
JSK,23,Suzuki
JSL,23,Suzuki
JS1,23,Suzuki
LM1,23,Suzuki
MLC,23,Suzuki
"5SA",23,Suzuki
MMS,23,Suzuki
MAT,113,Tata
SFZ,129,Tesla
"5YJ",129,Tesla
WTD,21,Toyota
MR0,21,Toyota
ATH,21,Toyota
JT1,21,Toyota
SMT,88,Triumph
SCG,88,Triumph
YB1,28,Volvo
YB2,28,Volvo
WVV,28,Volvo
SCV,28,Volvo
XLB,28,Volvo
LVY,28,Volvo
LYV,28,Volvo
YV3,28,Volvo
YV6,28,Volvo
"7JR",28,Volvo
WWE,160,Weippert
WWV,63,Westfalia
WHE,63,Westfalia
WTS,63,Westfalia
WWW,63,Westfalia
WWC,64,WM Meyer
MLE,57,Yamaha
"9C6",57,Yamaha
VTL,57,Yamaha
ZD0,57,Yamaha
JYA,57,Yamaha
JYB,57,Yamaha
JYC,57,Yamaha
JYD,57,Yamaha
JYE,57,Yamaha
JYR,57,Yamaha
JYS,57,Yamaha
JYT,57,Yamaha
JY3,57,Yamaha
JY4,57,Yamaha
JY5,57,Yamaha
JY6,57,Yamaha
LBP,57,Yamaha
LPR,57,Yamaha
RKR,57,Yamaha
MH3,57,Yamaha
"5Y4",57,Yamaha
RLC,57,Yamaha
LYM,57,Yamaha
YAR,21,Toyota
